!!SBtab	TableID='Reaction'	TableType='Reaction'
!ID	!ReactionFormula
aconta	cit_c <=> acon_C_c + h2o_c
acontb	acon_C_c + h2o_c <=> icit_c
apsr2	aps_c + grxrd_c <=> amp_c + grxox_c + 2.0 h_c + so3_c
cs	accoa_c + h2o_c + oaa_c <=> cit_c + coa_c + h_c
dhqs	2dda7p_c <=> 3dhq_c + pi_c
dhskdh	3dhsk_c <=> 34dhbz_c + h2o_c
eda	2ddg6p_c <=> g3p_c + pyr_c
edd	6pgc_c <=> 2ddg6p_c + h2o_c
eno	2pg_c <=> h2o_c + pep_c
g6pdh2r	g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c
gapd	g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
grxr	grxox_c + 2.0 gthrd_c <=> grxrd_c + gthox_c
gthor	gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c
icdhyr	icit_c + nadp_c <=> akg_c + co2_c + nadph_c
muccy_kt	CCbuttc_c + h_c <=> 4cml_c
nadtrhd	nad_c + nadph_c <=> nadh_c + nadp_c
oxoael	5odhf2a_c + h2o_c <=> 3oxoadp_c + h_c
pc	atp_c + hco3_c + pyr_c <=> adp_c + h_c + oaa_c + pi_c
pcadyox	34dhbz_c + o2_c <=> CCbuttc_c + 2.0 h_c
pdhcr	dhlam_c + nad_c <=> h_c + lpam_c + nadh_c
pgi	g6p_c <=> f6p_c
pgk	3pg_c + atp_c <=> 13dpg_c + adp_c
pgl	6pgl_c + h2o_c <=> 6pgc_c + h_c
pgm	2pg_c <=> 3pg_c
rpe	ru5p__D_c <=> xu5p__D_c
rpi	r5p_c <=> ru5p__D_c
sadt	atp_c + h_c + so4_c <=> aps_c + ppi_c
sucoas	atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c
sulr	5.0 h_c + 3.0 nadph_c + so3_c <=> 3.0 h2o_c + h2s_c + 3.0 nadp_c
tala	g3p_c + s7p_c <=> e4p_c + f6p_c
tkt1	r5p_c + xu5p__D_c <=> g3p_c + s7p_c
dhqti_copy2	3dhq_c <=> 3dhsk_c + h2o_c
idph_1	h2o_c + ppi_c <=> 2.0 pi_c
adk1	amp_c + atp_c <=> 2.0 adp_c
akgda	akg_c + h_c + lpam_c <=> co2_c + sdhlam_c
akgdb_copy1	coa_c + sdhlam_c <=> dhlam_c + succoa_c
ddpa	e4p_c + h2o_c + pep_c <=> 2dda7p_c + pi_c
3oadpcoat	3oxoadp_c + succoa_c <=> oxadpcoa_c + succ_c
3oxcoat	coa_c + oxadpcoa_c <=> accoa_c + succoa_c
4cmlcl_kt	4cml_c + h_c <=> 5odhf2a_c + co2_c
xyli1	xyl__D_c <=> xylu__D_c
xylk	atp_c + xylu__D_c <=> adp_c + h_c + xu5p__D_c

!!SBtab	TableID='Compound'	TableType='Compound'
!ID	!Identifiers
cit_c	kegg:C00158
acon_C_c	kegg:C00417
h2o_c	kegg:C00001
icit_c	kegg:C00311
aps_c	kegg:C00224
amp_c	kegg:C00020
h_c	kegg:C00080
so3_c	kegg:C00094
accoa_c	kegg:C00024
oaa_c	kegg:C00036
coa_c	kegg:C00010
2dda7p_c	kegg:C04691
3dhq_c	kegg:C00944
pi_c	kegg:C00009
3dhsk_c	kegg:C02637
34dhbz_c	kegg:C00230
2ddg6p_c	kegg:C04442
g3p_c	kegg:C00661
pyr_c	kegg:C00022
6pgc_c	kegg:C00345
2pg_c	kegg:C00631
pep_c	kegg:C00074
g6p_c	kegg:C00092
nadp_c	kegg:C00006
6pgl_c	kegg:C01236
nadph_c	kegg:C00005
nad_c	kegg:C00003
13dpg_c	kegg:C00236
nadh_c	kegg:C00004
gthrd_c	kegg:C00051
gthox_c	kegg:C00127
akg_c	kegg:C00026
co2_c	kegg:C00011
CCbuttc_c	kegg:C01163
4cml_c	kegg:C01278
5odhf2a_c	kegg:C03586
3oxoadp_c	kegg:C00846
atp_c	kegg:C00002
hco3_c	kegg:C01353
adp_c	kegg:C00008
o2_c	kegg:C00007
dhlam_c	kegg:C00579
lpam_c	kegg:C00248
f6p_c	kegg:C05345
3pg_c	kegg:C00197
ru5p__D_c	kegg:C00199
xu5p__D_c	kegg:C00231
r5p_c	kegg:C03736
so4_c	kegg:C00059
ppi_c	kegg:C00013
succ_c	kegg:C00042
succoa_c	kegg:C00091
h2s_c	kegg:C00283
s7p_c	kegg:C05382
e4p_c	kegg:C00279
sdhlam_c	kegg:C01169
oxadpcoa_c	kegg:C02232

!!SBtab	TableID='Flux'	TableType='Quantity'	:Unit='mM/s'
!QuantityType	!Reaction	!Value
rate of reaction	aconta	0.0
rate of reaction	acontb	0.0
rate of reaction	apsr2	0.0
rate of reaction	cs	0.0
rate of reaction	dhqs	0.0
rate of reaction	dhskdh	0.0
rate of reaction	eda	0.0
rate of reaction	edd	0.0
rate of reaction	eno	0.0
rate of reaction	g6pdh2r	0.0
rate of reaction	gapd	0.0
rate of reaction	grxr	0.0
rate of reaction	gthor	0.0
rate of reaction	icdhyr	0.0
rate of reaction	muccy_kt	0.0
rate of reaction	nadtrhd	0.0
rate of reaction	oxoael	0.0
rate of reaction	pc	0.0
rate of reaction	pcadyox	0.0
rate of reaction	pdhcr	0.0
rate of reaction	pgi	0.0
rate of reaction	pgk	0.0
rate of reaction	pgl	0.0
rate of reaction	pgm	0.0
rate of reaction	rpe	0.0
rate of reaction	rpi	0.0
rate of reaction	sadt	0.0
rate of reaction	sucoas	0.0
rate of reaction	sulr	0.0
rate of reaction	tala	0.0
rate of reaction	tkt1	0.0
rate of reaction	dhqti_copy2	0.0
rate of reaction	idph_1	0.0
rate of reaction	adk1	0.0
rate of reaction	akgda	0.0
rate of reaction	akgdb_copy1	0.0
rate of reaction	ddpa	0.0
rate of reaction	3oadpcoat	0.0
rate of reaction	3oxcoat	0.0
rate of reaction	4cmlcl_kt	0.0
rate of reaction	xyli1	0.0
rate of reaction	xylk	0.0

!!SBtab	TableID='ConcentrationConstraint'	TableType='Quantity'	:Unit='mM'
!QuantityType	!Compound	!Min	!Max
concentration	cit_c	0.001	10
concentration	acon_C_c	0.001	10
concentration	h2o_c	0.001	10
concentration	icit_c	0.001	10
concentration	aps_c	0.001	10
concentration	grxrd_c	0.001	10
concentration	amp_c	0.5	0.5
concentration	grxox_c	0.001	10
concentration	h_c	0.001	10
concentration	so3_c	0.001	10
concentration	accoa_c	0.001	10
concentration	oaa_c	0.001	10
concentration	coa_c	0.1	5
concentration	2dda7p_c	0.001	10
concentration	3dhq_c	0.001	10
concentration	pi_c	10	10
concentration	3dhsk_c	0.001	10
concentration	34dhbz_c	0.001	10
concentration	2ddg6p_c	0.001	10
concentration	g3p_c	0.001	10
concentration	pyr_c	0.001	10
concentration	6pgc_c	0.001	10
concentration	2pg_c	0.001	10
concentration	pep_c	0.001	10
concentration	g6p_c	0.001	10
concentration	nadp_c	0.001	10
concentration	6pgl_c	0.001	10
concentration	nadph_c	0.001	10
concentration	nad_c	0.001	10
concentration	13dpg_c	0.001	10
concentration	nadh_c	0.001	10
concentration	gthrd_c	0.001	10
concentration	gthox_c	0.001	10
concentration	akg_c	0.001	10
concentration	co2_c	0.001	10
concentration	CCbuttc_c	0.001	10
concentration	4cml_c	0.001	10
concentration	5odhf2a_c	0.001	10
concentration	3oxoadp_c	0.001	10
concentration	atp_c	5	5
concentration	hco3_c	0.001	10
concentration	adp_c	0.5	0.5
concentration	o2_c	0.001	10
concentration	dhlam_c	0.001	10
concentration	lpam_c	0.001	10
concentration	f6p_c	0.001	10
concentration	3pg_c	0.001	10
concentration	ru5p__D_c	0.001	10
concentration	xu5p__D_c	0.001	10
concentration	r5p_c	0.001	10
concentration	so4_c	0.001	10
concentration	ppi_c	1	1
concentration	succ_c	0.001	10
concentration	succoa_c	0.001	10
concentration	h2s_c	0.001	10
concentration	s7p_c	0.001	10
concentration	e4p_c	0.001	10
concentration	sdhlam_c	0.001	10
concentration	oxadpcoa_c	0.001	10
concentration	xylu__D_c	0.001	10
concentration	xyl__D_c	0.01	10.0
